"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"shape","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.4.6",NA,"R (>= 2.01)","stats, graphics, grDevices",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.1"
"shiny","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.7.5",NA,"R (>= 3.0.2), methods","utils, grDevices, httpuv (>= 1.5.2), mime (>= 0.3), jsonlite
(>= 0.9.16), xtable, fontawesome (>= 0.4.0), htmltools (>=
0.5.4), R6 (>= 2.0), sourcetools, later (>= 1.0.0), promises
(>= 1.1.0), tools, crayon, rlang (>= 0.4.10), fastmap (>=
1.1.1), withr, commonmark (>= 1.7), glue (>= 1.3.2), bslib (>=
0.3.0), cachem, ellipsis, lifecycle (>= 0.2.0)",NA,"datasets, Cairo (>= 1.5-5), testthat (>= 3.0.0), knitr (>=
1.6), markdown, rmarkdown, ggplot2, reactlog (>= 1.0.0),
magrittr, yaml, future, dygraphs, ragg, showtext, sass",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"shinyjs","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2.1.0",NA,"R (>= 3.1.0)","digest (>= 0.6.8), jsonlite, shiny (>= 1.0.0)",NA,"htmltools (>= 0.2.9), knitr (>= 1.7), rmarkdown, shinyAce,
shinydisconnect, testthat (>= 0.9.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"shinythemes","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.2.0",NA,"R (>= 3.0.0)","shiny (>= 0.11)",NA,NA,NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"showtext","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.9-6",NA,"sysfonts (>= 0.7.1), showtextdb (>= 2.0)","grDevices",NA,"knitr, rmarkdown, prettydoc, curl, jsonlite",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"yes","4.3.1"
"showtextdb","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","3.0",NA,NA,"sysfonts (>= 0.7), utils",NA,"curl",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.3.1"
"sitmo","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2.0.2",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.13)","Rcpp","knitr, rmarkdown, ggplot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"sjlabelled","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.2.0",NA,"R (>= 3.4)","insight, datawizard, stats, tools, utils",NA,"dplyr, haven (>= 1.1.2), magrittr, sjmisc, sjPlot, knitr,
rlang, rmarkdown, snakecase, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"sjmisc","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2.8.9",NA,"R (>= 3.4)","dplyr, insight, magrittr, methods, purrr, rlang, sjlabelled
(>= 1.1.1), stats, tidyselect, utils",NA,"ggplot2, graphics, haven (>= 2.0.0), mice, nnet, sjPlot,
sjstats, knitr, rmarkdown, stringdist, testthat, tidyr",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"sjPlot","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2.8.15",NA,"R (>= 3.6)","graphics, grDevices, stats, utils, bayestestR, datawizard,
dplyr, ggeffects, ggplot2 (>= 3.2.0), knitr, insight, MASS,
parameters, performance, purrr, rlang, scales, sjlabelled (>=
1.1.2), sjmisc (>= 2.8.2), sjstats (>= 0.17.8), tidyr (>=
1.0.0)",NA,"brms, car, clubSandwich, cluster, cowplot, effects, haven,
GPArotation, ggrepel, glmmTMB, gridExtra, ggridges, httr, lme4,
nFactors, pscl, psych, rmarkdown, rstanarm, sandwich, splines,
survey, TMB, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"sjstats","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.18.2",NA,"R (>= 3.4), utils","bayestestR, broom, datawizard, dplyr, effectsize, emmeans,
insight, lme4, magrittr, MASS, modelr, parameters, performance,
purrr, rlang, sjlabelled, sjmisc, stats, tidyr",NA,"brms, car, coin, ggplot2, graphics, pscl, pwr, sjPlot,
survey, rstan, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"skimr","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2.1.5",NA,"R (>= 3.1.2)","cli, dplyr (>= 0.8.0), knitr (>= 1.2), magrittr (>= 1.5),
pillar (>= 1.6.4), purrr, repr, rlang (>= 0.3.1), stats,
stringr (>= 1.1), tibble (>= 2.0.0), tidyr (>= 1.0), tidyselect
(>= 1.0.0), vctrs",NA,"covr, crayon, data.table, dtplyr, extrafont, haven,
lubridate, rmarkdown, testthat (>= 2.0.0), withr",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"smd","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.6.6",NA,NA,"MASS (>= 7.3-50), methods (>= 3.5.1)",NA,"testthat, stddiff, tableone, knitr, dplyr, purrr, markdown,
rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"snakecase","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.11.1",NA,"R (>= 3.2)","stringr, stringi",NA,"testthat, covr, tibble, purrrlyr, knitr, rmarkdown, magrittr",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"SnowballC","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.7.1",NA,NA,NA,NA,NA,NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"sodium","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.3.0",NA,NA,NA,NA,"knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"sourcetools","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.1.7-1",NA,"R (>= 3.0.2)",NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"sp","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2.1-0",NA,"R (>= 3.5.0), methods","utils, stats, graphics, grDevices, lattice, grid",NA,"RColorBrewer, gstat, deldir, knitr, rmarkdown, sf, terra,
raster",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"spacetime","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.3-0",NA,"R (>= 3.0.0)","graphics, utils, stats, methods, lattice, sp (>= 1.1-0), zoo
(>= 1.7-9), xts (>= 0.8-8), intervals",NA,"adehabitatLT, cshapes (>= 2.0), foreign, gstat (>= 1.0-16),
maps, mapdata, plm, raster, RColorBrewer, rmarkdown,
RPostgreSQL, knitr, googleVis, ISOcodes, markdown, sf, sftime",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"spam","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2.9-1",NA,"R (>= 3.5)","dotCall64, grid, methods",NA,"spam64, fields, Matrix, testthat, R.rsp, truncdist, knitr,
rmarkdown",NA,"LGPL-2 | BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"sparkline","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2.0",NA,NA,"htmltools, htmlwidgets (>= 0.8)",NA,"formattable, knitr, rmarkdown, shiny",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"SparseM","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.81",NA,"R (>= 2.15), methods","graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"spatial","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","7.3-17","recommended","R (>= 3.0.0), graphics, stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"spatialwidget","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.2.3",NA,"R (>= 3.3.0)","Rcpp","BH, colourvalues (>= 0.3.4), geojsonsf (>= 1.3.3),
geometries, jsonify (>= 1.1.1), rapidjsonr, Rcpp, sfheaders (>=
0.2.1)","colourvalues, covr, geojsonsf, jsonify, sfheaders, knitr,
rmarkdown, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"spatstat.data","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","3.0-1",NA,"R (>= 3.5.0)","spatstat.utils (>= 3.0-2), Matrix",NA,"spatstat.geom, spatstat.random, spatstat.explore,
spatstat.model, spatstat.linnet",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"spatstat.sparse","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","3.0-2",NA,"R (>= 3.5.0), stats, utils, methods, Matrix, abind, tensor","spatstat.utils (>= 3.0-2)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"spatstat.utils","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","3.0-3",NA,"R (>= 3.3.0), stats, graphics, grDevices, utils, methods",NA,NA,"spatstat.model",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"spData","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2.3.0",NA,"R (>= 3.3.0)","sp",NA,"foreign, sf (>= 0.9-1), spDataLarge (>= 0.4.0), spdep,
spatialreg,",NA,"CC0",NA,NA,NA,NA,"no","4.3.1"
"spelling","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2.2.1",NA,NA,"commonmark, xml2, hunspell (>= 3.0), knitr",NA,"pdftools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"splancs","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2.01-44",NA,"R (>= 2.10.0), sp (>= 0.9)","stats, graphics, grDevices, methods",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"spotifyr","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2.2.4",NA,"R (>= 3.3.0)","dplyr, purrr, httr, lubridate, jsonlite, readr, rvest,
stringr, tibble, janitor, rlang, magrittr, assertthat, xml2",NA,"ggridges, spelling, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"sqldf","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.4-11",NA,"R (>= 3.1.0), gsubfn (>= 0.6), proto, RSQLite","DBI, chron",NA,"RH2, RMySQL, RPostgreSQL, svUnit, tcltk, MASS",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"SQUAREM","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2021.1",NA,"R (>= 3.0)",NA,NA,"setRNG",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"StanHeaders","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2.26.28",NA,"R (>= 3.4.0)","RcppParallel (>= 5.1.4)","RcppEigen, RcppParallel (>= 5.1.4)","Rcpp, BH (>= 1.75.0-0), knitr (>= 1.36), rmarkdown, Matrix,
methods, rstan, withr",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"stars","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.6-4",NA,"R (>= 3.3.0), abind, sf (>= 1.0-10)","methods, parallel, classInt (>= 0.4-1), rlang, units",NA,"Cairo, OpenStreetMap, PCICt, RNetCDF (>= 1.8-2), clue, covr,
cubble (>= 0.3.0), cubelyr, digest, dplyr (>= 0.7-0),
exactextractr, FNN, future.apply, ggforce, ggplot2, ggthemes,
gstat, httr, jsonlite, knitr, lwgeom, maps, mapdata, ncdfgeom,
ncmeta (>= 0.0.3), pbapply, plm, randomForest, raster,
rmarkdown, sp, spacetime, spatstat (>= 2.0-1), spatstat.geom,
starsdata, terra (>= 1.4-22), testthat, tibble, tidyr, tsibble,
viridis, xts, zoo",NA,"Apache License",NA,NA,NA,NA,"no","4.3.1"
"statnet.common","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","4.9.0",NA,"R (>= 3.5)","utils, methods, coda, parallel, tools",NA,"covr, rlang (>= 1.1.1), MASS, Matrix",NA,"GPL-3 + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"stringfish","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.15.8",NA,"R (>= 3.0.2)","Rcpp, RcppParallel","Rcpp (>= 0.12.18.3), RcppParallel (>= 5.1.4)","qs, knitr, rmarkdown, usethis, dplyr, stringr, rlang",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"stringi","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.7.12",NA,"R (>= 3.1)","tools, utils, stats",NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","4.3.1"
"stringr","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.5.0",NA,"R (>= 3.3)","cli, glue (>= 1.6.1), lifecycle (>= 1.0.3), magrittr, rlang
(>= 1.0.0), stringi (>= 1.5.3), vctrs",NA,"covr, htmltools, htmlwidgets, knitr, rmarkdown, testthat (>=
3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"strucchange","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.5-3",NA,"R (>= 2.10.0), zoo, sandwich","graphics, stats, utils",NA,"stats4, car, dynlm, e1071, foreach, lmtest, mvtnorm, tseries",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"survey","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","4.2-1",NA,"R (>= 3.5.0), grid, methods, Matrix, survival","stats, graphics, splines, lattice, minqa, numDeriv, mitools
(>= 2.4)",NA,"foreign, MASS, KernSmooth, hexbin, RSQLite, quantreg,
parallel, CompQuadForm, DBI, AER",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.3.1"
"survminer","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.4.9",NA,"ggplot2, ggpubr(>= 0.1.6)","grid, gridExtra (>= 2.0), magrittr, maxstat, methods, scales,
survival, stats, broom, dplyr, tidyr, survMisc, purrr, tibble,
rlang, ggtext (>= 0.1.0)",NA,"knitr, flexsurv, cmprsk, markdown, testthat, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"survMisc","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.5.6",NA,"survival","graphics, grDevices, stats, utils, knitr, KMsurv, ggplot2,
data.table, zoo, grid, gridExtra, km.ci, xtable",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"survPresmooth","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.1-11",NA,"R(>= 3.0.1)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"svglite","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2.1.1",NA,"R (>= 3.0.0)","systemfonts (>= 1.0.0)","cpp11, systemfonts","covr, fontquiver (>= 0.2.0), htmltools, knitr, rmarkdown,
testthat, xml2 (>= 1.0.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"sys","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","3.4.2",NA,NA,NA,NA,"unix (>= 1.4), spelling, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"sysfonts","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.8.8",NA,NA,NA,NA,"curl, jsonlite",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.1"
"systemfonts","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.0.4",NA,"R (>= 3.2.0)",NA,"cpp11 (>= 0.2.1)","testthat (>= 2.1.0), covr, knitr, rmarkdown, tools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"tables","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.9.17",NA,"R (>= 2.12.0)","stats, utils, knitr, htmltools",NA,"magrittr, kableExtra (>= 0.9.0), Hmisc, bookdown, rmarkdown,
pkgdown, formatters",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"tensor","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.5",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"4.3.1"
"tensorA","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.36.2",NA,"R (>= 2.2.0), stats",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"terra","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.7-46",NA,"R (>= 3.5.0)","methods, Rcpp (>= 1.0-10)","Rcpp","parallel, tinytest, ncdf4, sf (>= 0.9-8), deldir, XML,
leaflet, htmlwidgets",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.3.1"
"testthat","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","3.2.0",NA,"R (>= 3.6.0)","brio (>= 1.1.3), callr (>= 3.7.3), cli (>= 3.6.1), desc (>=
1.4.2), digest (>= 0.6.33), ellipsis (>= 0.3.2), evaluate (>=
0.21), jsonlite (>= 1.8.7), lifecycle (>= 1.0.3), magrittr (>=
2.0.3), methods, pkgload (>= 1.3.2.1), praise (>= 1.0.0),
processx (>= 3.8.2), ps (>= 1.7.5), R6 (>= 2.5.1), rlang (>=
1.1.1), utils, waldo (>= 0.5.1), withr (>= 2.5.0)",NA,"covr, curl (>= 0.9.5), diffviewer (>= 0.1.0), knitr,
rmarkdown, rstudioapi, shiny, usethis, vctrs (>= 0.1.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"texreg","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.38.6",NA,"R (>= 3.5)","methods, stats, httr",NA,"broom (>= 0.4.2), coda (>= 0.19.2), ggplot2 (>= 3.1.0),
huxtable (>= 4.2.0), knitr (>= 1.22), rmarkdown (>= 1.12.3),
sandwich (>= 2.3-1), testthat (>= 2.0.0), lmtest (>= 0.9-34)","AER, alpaca, betareg, Bergm, bife, biglm, brglm, brms (>=
2.8.8), btergm, dynlm, eha (>= 2.9.0), erer, ergm (>= 4.1.2),
feisr (>= 1.0.1), fGarch, fixest (>= 0.10.5), forecast, gamlss,
gamlss.inf, gee, glmmTMB, gmm, gnm, h2o, latentnet, lfe, lme4,
lqmm, maxLik (>= 1.4.8), metaSEM (>= 1.2.5.1), mfx, mhurdle,
miceadds, mlogit, mnlogit, MuMIn, nlme, nnet, oglmx, ordinal,
pglm, plm (>= 2.4.1), relevent, rms, robust, simex, spatialreg
(>= 1.2.1), spdep (>= 1.2.2), speedglm, survival, truncreg (>=
0.2.5), VGAM, Zelig","GPL-3",NA,NA,NA,NA,"no","4.3.1"
"textdata","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.4.4",NA,NA,"fs, rappdirs, readr, tibble",NA,"covr, knitr, rmarkdown, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"textplot","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.2.2",NA,NA,"utils, methods, lattice, stats, Matrix, graphics, data.table
(>= 1.9.6)",NA,"knitr, udpipe, BTM, igraph, graph, Rgraphviz, qgraph, glasso,
ggplot2, ggraph, ggforce, concaveman, ggrepel, ggalt, uwot",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"textshaping","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.3.6",NA,"R (>= 3.2.0)","systemfonts (>= 1.0.0)","cpp11 (>= 0.2.1), systemfonts (>= 1.0.0)","covr, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"TH.data","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.1-2",NA,"R (>= 3.5.0), survival, MASS",NA,NA,"trtf, tram, rms, coin, ATR, multcomp, gridExtra, vcd,
colorspace, lattice, knitr",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"tibble","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","3.2.1",NA,"R (>= 3.4.0)","fansi (>= 0.4.0), lifecycle (>= 1.0.0), magrittr, methods,
pillar (>= 1.8.1), pkgconfig, rlang (>= 1.0.2), utils, vctrs
(>= 0.4.2)",NA,"bench, bit64, blob, brio, callr, cli, covr, crayon (>=
1.3.4), DiagrammeR, dplyr, evaluate, formattable, ggplot2,
here, hms, htmltools, knitr, lubridate, mockr, nycflights13,
pkgbuild, pkgload, purrr, rmarkdown, stringi, testthat (>=
3.0.2), tidyr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"tidycmprsk","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.2.0",NA,"R (>= 3.4)","broom (>= 1.0.1), cli (>= 3.1.0), cmprsk (>= 2.2.10), dplyr
(>= 1.0.7), ggplot2 (>= 3.3.5), gtsummary (>= 1.6.2), hardhat
(>= 0.2.0), purrr (>= 0.3.4), rlang (>= 1.0.0), stringr (>=
1.4.0), survival, tibble (>= 3.1.6), tidyr (>= 1.1.4)",NA,"covr (>= 3.5.1), ggsurvfit, knitr (>= 1.36), spelling,
testthat (>= 3.1.0)",NA,"AGPL (>= 3)",NA,NA,NA,NA,"no","4.3.1"
"tidygraph","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.2.3",NA,NA,"tibble, dplyr (>= 0.8.5), igraph (>= 1.3.0), magrittr, utils,
rlang, R6, tools, stats, tidyr, pillar, cli","cpp11","network, data.tree, ape, graph, methods, testthat, covr,
seriation, netrankr, influenceR, NetSwan",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"tidyr","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.3.0",NA,"R (>= 3.4.0)","cli (>= 3.4.1), dplyr (>= 1.0.10), glue, lifecycle (>= 1.0.3),
magrittr, purrr (>= 1.0.1), rlang (>= 1.0.4), stringr (>=
1.5.0), tibble (>= 2.1.1), tidyselect (>= 1.2.0), utils, vctrs
(>= 0.5.2)","cpp11 (>= 0.4.0)","covr, data.table, knitr, readr, repurrrsive (>= 1.1.0),
rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"tidyselect","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.2.0",NA,"R (>= 3.4)","cli (>= 3.3.0), glue (>= 1.3.0), lifecycle (>= 1.0.3), rlang
(>= 1.0.4), vctrs (>= 0.4.1), withr",NA,"covr, crayon, dplyr, knitr, magrittr, rmarkdown, stringr,
testthat (>= 3.1.1), tibble (>= 2.1.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"tidytext","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.4.1",NA,"R (>= 2.10)","cli, dplyr, generics, janeaustenr, lifecycle, Matrix, methods,
purrr (>= 0.1.1), rlang (>= 0.4.10), stringr, tibble,
tokenizers, vctrs",NA,"broom, covr, data.table, ggplot2, hunspell, knitr, mallet,
NLP, quanteda, readr, reshape2, rmarkdown, scales, stm,
stopwords, testthat (>= 2.1.0), textdata, tidyr, tm,
topicmodels, vdiffr, wordcloud",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"tidyverse","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2.0.0",NA,"R (>= 3.3)","broom (>= 1.0.3), conflicted (>= 1.2.0), cli (>= 3.6.0),
dbplyr (>= 2.3.0), dplyr (>= 1.1.0), dtplyr (>= 1.2.2), forcats
(>= 1.0.0), ggplot2 (>= 3.4.1), googledrive (>= 2.0.0),
googlesheets4 (>= 1.0.1), haven (>= 2.5.1), hms (>= 1.1.2),
httr (>= 1.4.4), jsonlite (>= 1.8.4), lubridate (>= 1.9.2),
magrittr (>= 2.0.3), modelr (>= 0.1.10), pillar (>= 1.8.1),
purrr (>= 1.0.1), ragg (>= 1.2.5), readr (>= 2.1.4), readxl (>=
1.4.2), reprex (>= 2.0.2), rlang (>= 1.0.6), rstudioapi (>=
0.14), rvest (>= 1.0.3), stringr (>= 1.5.0), tibble (>= 3.1.8),
tidyr (>= 1.3.0), xml2 (>= 1.3.3)",NA,"covr (>= 3.6.1), feather (>= 0.3.5), glue (>= 1.6.2), mockr
(>= 0.2.0), knitr (>= 1.41), rmarkdown (>= 2.20), testthat (>=
3.1.6)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"timechange","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.2.0",NA,"R (>= 3.3)",NA,"cpp11 (>= 0.2.7)","testthat (>= 0.7.1.99), knitr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"timeDate","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","4022.108",NA,"R (>= 3.6.0)","graphics, utils, stats, methods",NA,"RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"timereg","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","2.0.5",NA,"R (>= 2.15), survival","lava, numDeriv, stats, graphics, grDevices, utils, methods",NA,"mets,",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"tinylabels","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.2.4",NA,NA,"methods, stats",NA,"testthat, vctrs, dplyr, ggplot2, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"tinyspotifyr","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.2.2",NA,"R (>= 3.2)","httr, jsonlite",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"tinytest","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.4.1",NA,"R (>= 3.0.0)","parallel, utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"tinytex","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.47",NA,NA,"xfun (>= 0.29)",NA,"testit, rstudioapi",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"TMB","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","1.9.6",NA,"R (>= 3.0.0)","graphics, methods, stats, utils, Matrix (>= 1.0-12)","Matrix, RcppEigen","numDeriv, parallel",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.1"
"tokenizers","/home/junaidali_b/R/x86_64-pc-linux-gnu-library/4.3","0.3.0",NA,"R (>= 3.1.3)","stringi (>= 1.0.1), Rcpp (>= 0.12.3), SnowballC (>= 0.5.1)","Rcpp","covr, knitr, rmarkdown, stopwords (>= 0.9.0), testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
